Year,ADM2_PCODE,ADM2_EN,N_t,RRUI,NDVI,precip_mm,temp_c,Livestock_units
2012,KAZ020001,Akzhaik District,5,0,0.27638671984004376,106.75229246231828,20.751382944044696,100.9918
2012,KAZ020002,Bokey Orda District,5,0.0704022363452337,0.2372933664784304,141.63996734818895,20.90437527161459,75.4766
2012,KAZ020005,Kaztal District,5,0.567033436691363,0.30152235676853834,138.14327597842222,20.15802833619409,86.0594
2012,KAZ020012,Zhanakala District,5,0,0.26808571591811403,112.86048922689284,21.17785564700968,73.5816
2012,KAZ020013,Zhanybek District,5,0.362564326963403,0.28700781000627046,156.3915077210665,20.094769072685132,37.144
2013,KAZ020001,Akzhaik District,7,0.0787221617393152,0.287105626966241,147.47038648469308,18.697979593005744,111.776
2013,KAZ020002,Bokey Orda District,7,0.0732172054633599,0.2880243207353419,171.83846711129706,18.922576482086228,78.6576
2013,KAZ020005,Kaztal District,7,0.394112518976994,0.3284205029647204,176.6661271198723,18.30645964587885,97.2316
2013,KAZ020012,Zhanakala District,7,0.0223442000154204,0.28585202718041247,148.4451851534958,19.141231231076585,82.2452
2013,KAZ020013,Zhanybek District,7,0.43160391380491,0.3802514061335601,219.6957641274704,18.063982858737297,40.6638
2014,KAZ020001,Akzhaik District,5,0.0627713980815935,0.2894304921400095,87.80635412117188,18.35006750825204,122.3442
2014,KAZ020002,Bokey Orda District,5,0.286825838748504,0.2251649542823188,113.01554296889886,19.07468879364437,91.7318
2014,KAZ020005,Kaztal District,5,0.404401515653328,0.3104930796346508,109.47944442170328,18.02490254226243,109.094
2014,KAZ020012,Zhanakala District,5,0,0.251680307774324,92.11320140823317,18.960836182355006,90.795
2014,KAZ020013,Zhanybek District,5,0.246001247516574,0.3020428599376327,133.77581165809454,18.07590247026968,44.9312
2015,KAZ020001,Akzhaik District,3,0,0.27115391885807616,93.96910680856529,18.545717557707267,129.5594
2015,KAZ020002,Bokey Orda District,3,0.0133137762575129,0.21793538288430195,144.12101316483486,19.265827127102053,93.0064
2015,KAZ020005,Kaztal District,3,0.443871758697004,0.268882195803906,142.8558154464481,18.486703142761183,118.5368
2015,KAZ020012,Zhanakala District,3,0,0.23875755913063487,112.78507289336982,19.22220259262905,93.3528
2015,KAZ020013,Zhanybek District,3,0.542814465045483,0.2720398759135028,162.73202118691214,18.45673351322234,49.992
2016,KAZ020001,Akzhaik District,5,0,0.4254178554210107,188.21751520240608,18.32449065748103,135.3466
2016,KAZ020002,Bokey Orda District,5,0.621276474446798,0.29817016927980333,192.0797688838972,19.29163423864325,95.3546
2016,KAZ020005,Kaztal District,5,0,0.3855648668612244,180.40380513910216,18.405591022176267,129.1348
2016,KAZ020012,Zhanakala District,5,0.131825475705531,0.3314464964687192,163.43976291843805,19.082068817879662,96.9774
2016,KAZ020013,Zhanybek District,5,0.246898049847671,0.3885916615428144,221.55395018288303,18.35805752270902,54.4718
2017,KAZ020001,Akzhaik District,23,0.0734078092938533,0.3228111428845575,114.8078417068881,18.273614748326658,148.36
2017,KAZ020002,Bokey Orda District,23,0.340963495077338,0.2571884056023416,157.71756877813692,18.979929392471774,100.64
2017,KAZ020005,Kaztal District,23,0.26103531324682,0.33476649604678177,156.43973460446276,18.004578413573082,139.3
2017,KAZ020012,Zhanakala District,23,0.237399890047013,0.26901129314263544,126.3730827773143,18.96748563202967,104
2017,KAZ020013,Zhanybek District,23,0.0871934923349757,0.347336274285187,176.88113280805274,17.901275602089903,61.38
2018,KAZ020001,Akzhaik District,15,0,0.28834961982789575,95.31434503801964,18.92532125899348,156.72
2018,KAZ020002,Bokey Orda District,15,0.302651276642511,0.24928564847305196,135.865703351957,19.604353350199105,101.74
2018,KAZ020005,Kaztal District,15,0.306376129075373,0.2887788176739885,120.80570952069836,18.830580730153695,144.76
2018,KAZ020012,Zhanakala District,15,0.159725319968693,0.2455597606134174,102.76084407771708,19.654482128606976,108.78
2018,KAZ020013,Zhanybek District,15,0.231247274313423,0.2804641160941442,153.7074301715834,19.016678925141072,67
2019,KAZ020001,Akzhaik District,9,0,0.29649981748669024,126.45825284994096,18.558945050935428,160.84
2019,KAZ020002,Bokey Orda District,9,0.242624904455947,0.26438373089861594,155.34716631023318,19.083243533151418,105.56
2019,KAZ020005,Kaztal District,9,0.303511967264386,0.3118490110723962,147.93545294944713,18.27777590489091,151.52
2019,KAZ020012,Zhanakala District,9,0.201205854568302,0.26313883854116293,123.34763759130092,19.222479529108348,111.58
