ADM2_PCODE,ADM2_EN,Min,Mean,Max,SD
KAZ020001,Akzhaik District,85.3283,136.94539230769232,214.38,37.53845097442225
KAZ020002,Bokey Orda District,66.0095,99.00519230769231,148.28,24.57168217492993
KAZ020005,Kaztal District,72.2526,127.38784615384616,206.36,39.418694759543044
KAZ020012,Zhanakala District,60.076800000000006,96.54982307692308,142.0521,25.630487870865615
KAZ020013,Zhanybek District,32.5535,60.85903846153846,101.18,21.479892496027475
