Variable,N,Mean,SD,Min,Max
RRUI,65,0.19999999999999998,0.18697500457588576,0,0.625603921149873
NDVI,65,0.2950090204308996,0.04481474419323452,0.21793538288430195,0.4254178554210107
precip_mm,65,146.8738043557441,31.985755759565233,87.80635412117188,221.55395018288303
temp_c,65,19.014529216761694,0.7160861401783322,17.901275602089903,21.17785564700968
Livestock_units,65,119.07262461538461,45.193459130906156,37.144,236.3
