Variable,Method,Beta,Test_statistic,P_value,P_value_strict,N_draws,N_ties
RRUI,"Rademacher (exact, 2^G)",-0.01626097702409887,-2.082806029582492,0.125,0.0625,32,2
RRUI,"Webb (exact, 6^G)",-0.01626097702409887,-2.082806029582492,0.1087962962962963,0.10802469135802469,7776,6
precip_mm,"Rademacher (exact, 2^G)",6.154805112444286e-4,2.481490448259575,0.1875,0.125,32,2
precip_mm,"Webb (exact, 6^G)",6.154805112444286e-4,2.481490448259575,0.17541152263374485,0.17463991769547324,7776,6
temp_c,"Rademacher (exact, 2^G)",-0.055741505657966484,-6.341295849057477,0.0625,0,32,2
temp_c,"Webb (exact, 6^G)",-0.055741505657966484,-6.341295849057477,0.03343621399176955,0.03266460905349794,7776,6
