Method,Beta,Test_statistic,P_value,P_value_strict,N_draws,N_ties
"Rademacher (exact, 2^G)",-0.01626097702409887,-2.082806029582492,0.125,0.0625,32,2
"Webb (exact, 6^G)",-0.01626097702409887,-2.082806029582492,0.1087962962962963,0.10802469135802469,7776,6
