Method,Beta,Test_statistic,P_value,P_value_strict,N_draws,N_ties
"Rademacher (exact, 2^G)",-0.01839590077276701,-1.8552626850243228,0.25,0.1875,32,2
"Webb (exact, 6^G)",-0.01839590077276701,-1.8552626850243228,0.21167695473251028,0.2109053497942387,7776,6
