Method,Beta,Test_statistic,P_value,P_value_strict,N_draws,N_ties
"Rademacher (exact, 2^G)",-0.01715772922725354,-1.8951008149344808,0.125,0.0625,32,2
"Webb (exact, 6^G)",-0.01715772922725354,-1.8951008149344808,0.13117283950617284,0.13040123456790123,7776,6
