Variable,Estimate,Std. Error,t value,Pr(>|t|)
RRUI,-0.01715772922726541,0.010454345763557481,-1.6412054484628844,0.17609889306796095
precip_mm,6.238206510824706e-4,2.486961529581167e-4,2.5083646999056284,0.06617274605924821
temp_c,-0.05576424362528027,0.010067436552747484,-5.53907077865435,0.005193657046576889
Livestock_units,-6.804697382165967e-5,3.183075817875825e-4,-0.21377742069326433,0.8411753736257426
