Model,Beta_RRUI,Clustered_SE,P_value,N
Baseline TWFE,-0.018395900772767378,0.011107608076329503,0.17303220414135215,65
TWFE + climate controls,-0.01626097702408711,0.00892256574924001,0.1424701865634097,65
