Variable,beta,SE,tstat,df_Satt,p_Satt
RRUI,-0.016260977024086996,0.01063525186726442,-1.5289696216916784,2.3406977252628174,0.24802062066653788
precip_mm,6.15480511241545e-4,2.991852502156797e-4,2.0571886842611766,3.4563903651466106,0.11973994930865896
temp_c,-0.055741505658458146,0.010302247806586328,-5.410615887420419,2.679269783796495,0.016477031399074384
