Variable,Method,Beta,Test_statistic,P_value,P_value_strict,N_draws,N_ties
RRUI,"Rademacher (exact, 2^G)",-0.01715772922725354,-1.8951008149344808,0.125,0.0625,32,2
RRUI,"Webb (exact, 6^G)",-0.01715772922725354,-1.8951008149344808,0.13117283950617284,0.13040123456790123,7776,6
precip_mm,"Rademacher (exact, 2^G)",6.238206510851762e-4,2.8964100694543427,0.125,0.0625,32,2
precip_mm,"Webb (exact, 6^G)",6.238206510851762e-4,2.8964100694543427,0.10416666666666667,0.10339506172839506,7776,6
temp_c,"Rademacher (exact, 2^G)",-0.05576424362478187,-6.395968010205978,0.0625,0,32,2
temp_c,"Webb (exact, 6^G)",-0.05576424362478187,-6.395968010205978,0.03292181069958848,0.03215020576131687,7776,6
Livestock_units,"Rademacher (exact, 2^G)",-6.804697381991988e-5,-0.24684890276137,0.875,0.8125,32,2
Livestock_units,"Webb (exact, 6^G)",-6.804697381991988e-5,-0.24684890276137,0.8806584362139918,0.8798868312757202,7776,6
